574086046	871944137	36	5	25	10002	735224	5	28324	300	573710797	709742735	709742737	29977503	811387931																
91552954	871944137	21	8	35	10002	735203	5	28065	421	29981037	573710798	709742735	709742737	27991246	29976982	29976987	811387931													
85641396	871944137	26	6	39	10002	735210	5	31558	360	783898028	80573730	573710800	709742736	28025066	811387931															
85641096	871944137	12	9	83	10002	735192	1	27741	720	809007673	759382244	29989689	811382726	709742735	709742737	29976982	29977503	811387931												
871940621	85653843	22	3	17	10003	735206	1	31010	120	811382726	573710797	709742735																		
85647316	871944137	15	11	103	10004	735195	4	29932	901	27998476	749475871	716693020	749393973	29989689	573710797	709742735	29976976	29976982	29977503	811387931										
731105033	85653081	26	5	31	10004	735210	5	30218	240	573725134	29981037	29986525	709742735	709742737																
85641421	85650738	16	7	44	10004	735196	5	30330	420	28026073	573710800	27991930	573710802	29976982	29976987	573725035														
85641389	85650294	56	6	37	10004	735252	5	31598	359	80552331	573710797	709742734	709742737	27991246	29976987															
85652977	85647535	11	10	81	10004	735189	5	31419	678	573711290	709742741	773078644	29981051	711270049	708315201	80573709	1812910896	1812938350	1027997290											
91552954	85650691	23	7	35	10004	735207	2	26963	361	29981037	573710797	709742735	573710801	29976982	29977503	811387932														
800481643	85650294	33	8	47	10004	735221	2	29105	420	811547829	80552330	573710797	709742735	709742737	27991246	28025066	29976987													
85650293	85645999	20	12	94	10005	735202	4	27933	1081	29956386	28079763	573711290	709742742	29986510	29981040	573725136	573711299	1749481095	759382245	709010325	1813029304									
85641421	85650483	25	6	38	10005	735209	4	27669	361	28026073	573710794	573710799	29989693	29976982	573725073															
85653659	85646006	5	10	96	10005	735181	4	29213	1020	27991948	709742743	573711296	29981036	732651065	573725191	1820256730	1749481096	709010326	1080554581											
85647499	87292088	10	9	90	10005	735188	4	29153	779	28079163	710310826	749366568	29989689	29981037	573710797	709742735	29976976	29977503												
85651135	574054154	7	12	100	10005	735185	1	26954	1140	28079763	573721962	1768624076	573707490	709742742	573711295	573711296	573725136	80573711	1749481096	29981175	1080554583									
85641421	871944137	53	6	39	10005	735249	2	27361	419	28026073	573710794	573710799	573710801	29976982	811387931															
85641389	85653120	8	5	30	10005	735186	2	27106	239	80552331	80573730	573710800	709742736	80573703																
660284939	85646006	8	12	96	10005	735186	2	28125	1022	709742741	573711294	573711295	709742730	573725135	732651065	749494016	1027996814	1749481096	709010325	1799358074	1080554581									
85659998	85641171	52	11	102	10006	735248	1	29426	1058	1028025403	1810214338	1573710796	709816948	28081408	29983681	708315190	708315200	709891986	759382250	745958926										
826480504	574085942	13	7	76	10006	735193	2	29786	660	1746221249	573710791	573725134	27994018	573710800	27991930	80573702														
731104954	731104918	55	8	45	10007	735251	4	26842	420	573725077	573710794	573710799	29989693	573710802	29976982	29976987	573725038													
85641097	840762421	15	11	88	10007	735195	4	27153	721	27997985	759382252	28027864	29989689	29981037	573710798	29989693	573710801	29976982	29976987	767343471										
85645956	85653081	35	8	90	10007	735223	4	27780	600	27998795	80554583	709010321	27996719	573725134	29981037	709742735	709742737													
574054153	840762421	26	11	93	10007	735210	5	26735	720	80554582	28021319	27996719	28020928	573710795	573710799	29989693	573710802	29976982	29976987	767343471										
574047752	85590225	20	10	88	10008	735202	4	26709	720	80553276	749366569	573725133	29981037	573710799	29989693	573710802	29976982	29976987	767379098											
87292507	828661181	45	9	92	10008	735237	4	28799	660	29977502	27991263	573711291	573711293	709742733	80573711	1749481096	749385101	1809147542												
91553447	85590225	10	12	120	10008	735188	4	28327	1021	29981824	798007963	29981068	766798417	27996732	811382726	573710797	709742735	573710801	29976982	29976987	767379098									
85650293	85646044	36	12	95	10008	735224	5	26805	840	29956386	28079763	573711289	709742740	29986510	709742733	811547831	749494016	1749481096	709010325	708315209	1027997575									
85646117	800433946	33	6	45	10008	735221	2	30677	360	765909829	29989689	29981037	573710798	709742735	709742736															
826480507	85650294	19	7	79	10008	735201	3	30569	540	746221257	573710791	709816949	811382725	573710802	29976982	29976987														
835374857	731114420	54	7	57	10009	735250	3	31190	469	759382252	27996719	28026073	27994018	573710799	29989693	573730282														
85647524	85650294	45	10	98	10010	735237	4	28362	720	749416633	710310826	765909829	27996719	28026073	27994018	573710800	709742736	27991246	29976987											
85650402	85647300	40	10	102	10010	735230	4	29791	661	29977505	28079763	80572940	709742740	573711295	709742732	573725191	1749481096	749385101	27998065											
87292496	87286820	2	12	112	10010	735175	5	28607	842	792324094	28079763	27991263	27991948	573711293	709742730	732651065	1749481096	29974519	80554558	750241742	708315186									
706489847	85650294	2	11	106	10010	735175	5	30060	781	709010342	798007962	709010324	28027864	80552331	573710797	709742735	709742737	27991246	28025066	29976987										
85651135	85646588	56	11	82	10010	735252	5	29795	780	28079763	573711290	573711292	709742743	573711293	573711295	709742733	732651065	1749481095	759382245	708315209										
85647499	731104915	44	10	96	10010	735236	3	27720	721	28079163	80548641	28027864	573725133	29981037	29986525	709742735	29976982	29976987	573725039											
85650097	85646047	35	12	90	10012	735223	4	29481	960	27991263	709742738	709742740	573711294	1080549224	1080549223	709816948	28081408	708315190	708315200	709891985	1027997520									
872042337	731104918	52	8	49	10012	735248	1	29338	421	811547830	811382726	573710797	709742734	709742737	29976982	29977503	573725038													
731105033	871944137	26	8	44	10013	735210	5	30020	420	573725134	29981037	29986525	709742735	573710801	29976982	29977503	811387931													
85645999	85650099	50	6	76	10014	735244	4	31906	540	813029304	573710791	29989689	811382725	709742737	27991246															
850794099	85653109	10	8	93	10014	735188	4	31763	660	781844727	813029304	749393973	29989689	29981037	573710798	709742735	573710801													
862232353	574085940	47	7	78	10014	735241	1	30130	539	797914437	29974508	811547829	80552330	80573730	29989693	80573701														
679628712	835365265	47	7	48	10014	735241	1	32050	381	573711291	573711294	573711296	573725135	811547831	1749481096	759365957														
826315200	574085940	12	5	52	10014	735192	1	31325	539	745958911	27996719	28026073	29989693	80573701																
85653713	706489843	44	6	48	10015	735236	3	31633	307	28026959	573711295	811382728	811547832	1749481096	734200237															
85641141	85650483	26	8	76	10018	735210	5	27267	662	27997909	28021337	28026073	27994018	573710800	29989693	573710801	573725073													
91552954	731104918	39	7	36	10018	735229	3	30473	360	29981037	573710798	709742735	573710801	29976982	29977503	573725038														
85641355	871944137	33	8	46	10018	735221	2	28513	421	29989689	29981038	573710797	709742735	573710801	29976982	29977503	811387931													
85650293	85647405	13	11	104	10018	735193	2	31416	1081	29956386	28079763	709742741	573711293	773078644	28026296	28081408	711270049	708315194	708315205	29974402										
85641421	85650294	54	6	38	10018	735250	3	30595	359	28026073	573710795	573710799	29989693	573710802	29976987															
85641423	85650294	46	7	40	10019	735238	5	31584	360	28020928	573710794	573710799	29989693	573710802	29976982	29976987														
85660195	871944137	16	5	28	10019	735196	5	28302	301	27994018	709742734	709742737	29977503	811387931																
706004143	871944137	22	9	73	10019	735206	1	28580	600	1708315208	749393973	811547829	80552331	27994018	573710799	27991246	28025066	811387931												
85646249	85650294	18	7	60	10019	735200	2	31904	482	749366568	709816949	80552330	709742735	29976976	29976982	29976987														
870449378	871944137	45	9	87	10020	735237	4	27041	660	1809007675	812247352	28027864	573725134	573710794	27991930	27991246	28025066	811387931												
873037902	85650483	25	12	112	10020	735209	4	27078	901	1813249727	813029348	813029304	28021330	27996719	573725077	573710794	573710799	29989693	573710802	29976982	573725073									
85651135	826441227	45	8	79	10020	735237	4	29861	480	28079763	573711290	709742740	573711295	709742732	80573711	759382248	1746156502													
826441227	85653109	15	6	67	10020	735195	4	30234	541	746156502	573710791	80552331	573710800	27991930	573710801															
85650293	85645638	42	12	124	10020	735234	1	28563	902	29956386	28079763	709742738	709742740	573711295	29981036	811547832	1749481096	1080554582	27998794	27998611	1027998759									
840380073	85653081	49	5	43	10020	735243	3	31402	300	820245654	709816949	573710797	709742735	709742737																
828644900	871944137	23	10	85	10020	735207	2	28142	721	749363882	745958911	27996719	573725134	29981037	573710798	709742735	573710801	29976982	811387931											
706489847	840783275	34	12	117	10020	735222	3	27570	901	709010342	749385104	745941205	28027864	811547829	811382726	573710797	709742735	709742737	29976982	29977503	767379097									
871774605	85650294	45	9	91	10022	735237	4	27952	720	811114717	29981170	765909829	27996719	573710797	709742735	573710801	29976982	29976987												
85640063	85650294	1	5	32	10022	735174	4	27468	300	29981038	29989693	573710802	29976982	29976987																
85640059	871944137	46	7	37	10022	735238	5	26973	361	811382725	573710797	709742735	573710801	29976982	29977503	811387931														
877655500	85653109	26	6	52	10022	735210	5	29091	406	820251016	28026073	27994018	573710799	29989693	573710801															
85646022	85653109	52	8	91	10022	735248	1	27708	540	716693005	80554582	27996719	28026073	573710795	573710799	29989693	573710801													
800481643	85590225	22	8	58	10022	735206	1	28903	480	811547829	811382725	573710797	709742735	573710801	29976982	29977503	767379098													
85645956	85650294	29	9	100	10022	735215	3	29654	1020	27998795	80554583	29974523	749393973	573710797	573710800	709742737	28025066	29976987												
85646028	85650294	48	11	94	10023	735242	2	27959	920	1027997984	709010330	28027864	29989689	80552330	80573730	27991930	573710802	29976982	28025066	29976987										
85641569	574085942	31	6	39	10023	735217	5	32118	299	709816949	80552331	27994018	573710799	29989693	80573702															
826441221	85650294	12	8	89	10023	735192	1	28209	1123	1746156486	1746221250	765909829	29989689	29981038	573710798	573710802	29976987													
828646367	731104918	7	9	64	10023	735185	1	29513	540	749366569	709816949	80552331	573710797	709742735	29976976	29976982	29977503	573725038												
85647328	85650691	49	11	109	10023	735243	3	28018	900	28026775	1027997774	709010330	749393973	29989689	29981037	709742735	573710801	29976982	29977503	811387932										
826441221	92076469	39	6	74	10023	735229	3	31828	584	1746156486	1027997775	716693020	28020928	27994018	573710800															
85647366	731104915	9	11	103	10023	735187	3	26927	841	1027997770	80554581	29974520	573710791	80552331	573710797	709742735	29976976	29976982	29977503	573725039										
85641141	574085942	31	8	69	10024	735217	5	31495	660	27997909	765909829	29989689	811382726	573710797	709742735	27991930	80573702													
85641355	731104915	30	7	48	10026	735216	4	27625	420	29989689	29981037	573710798	29989693	573710801	29976987	573725039														
85641421	85653120	5	5	31	10026	735181	4	31713	300	28026073	27994018	573710800	709742736	80573703																
800481643	85650483	22	7	46	10026	735206	1	30480	421	811547829	80552330	27993932	573710800	709742736	29976982	573725073														
85660145	574085940	23	4	16	10026	735207	2	30792	180	80573730	573710800	29989693	80573701																	
85647328	840762421	45	12	113	10028	735237	4	27459	900	28026775	27997686	29981063	708315191	29989682	28026266	811382707	573710799	29989693	29976982	29976987	767343471									
85651135	85647458	46	11	107	10028	735238	5	31198	720	28079763	27991263	709742741	573711293	80549227	27993239	29981781	711270048	80573708	1027997445	1813086885										
834450250	85653081	11	8	96	10028	735189	5	30694	779	757921319	809147543	29981170	820245654	29989689	811382726	573710797	709742737													
574054153	85650294	18	8	84	10028	735200	2	28658	660	80554582	765909829	573710794	573710799	29989693	27991246	29976983	29976987													
85641421	85590225	54	7	50	10028	735250	3	30954	419	28026073	27994018	573710800	709742737	27991246	28025066	767379098														
85641140	871944137	34	9	81	10028	735222	3	30068	661	27997943	766750672	27996719	783898028	27993932	709742737	27991246	29977503	811387931												
85646050	85650294	3	9	93	10030	735179	2	30631	746	1027997950	746156502	28021179	80552331	80573730	709742736	27991246	28025066	29976987												
85641076	85650691	4	10	87	10030	735180	3	31440	660	749363881	765909829	573725077	29981037	29986525	29989693	573710801	29976982	29977503	811387932											
85651135	85647316	10	11	105	10031	735188	4	27850	1020	28079763	573711290	80572940	709742741	774036345	709816948	29981781	711270048	708315193	27997067	1027998476										
85650293	828674395	50	12	113	10031	735244	4	29497	960	29956386	28079763	573711290	573711293	773078644	27993239	29981781	711270049	708315190	29981065	1749385104	749413956									
85647499	871944137	10	10	93	10031	735188	4	30550	901	28079163	80553276	766750672	29981037	573710797	709742735	573710801	29976982	29977503	811387931											
85646588	85650294	12	9	73	10031	735192	1	27934	600	1708315209	820245654	80552331	80573730	573710800	709742737	27991246	28025066	29976987												
835374854	85653081	50	6	45	10032	735244	4	30576	359	766750672	28020928	29981037	573710799	29989693	709742737															
85646052	85650294	43	8	94	10032	735235	2	30758	601	1813092931	29974508	28027864	573710794	573710800	709742737	29976982	29976987													
870596845	85650691	39	9	103	10032	735229	3	31675	660	809266358	27997686	28021319	573710795	573710800	709742737	29976982	29977503	811387932												
85641458	85650294	44	8	44	10033	735236	3	28252	420	573725133	29981038	573710797	709742735	709742737	27991246	29976983	29976987													
85646050	731104918	13	12	95	10033	735193	2	30527	899	27997884	709010330	820245654	811547829	80552330	80573730	573710800	27991930	573710802	29976982	29976987	573725038									
85650402	87284575	55	15	122	10034	735251	4	30609	1501	29977505	28079763	573711290	27991948	709742742	573711293	28026035	28026296	29989683	711270049	708315192	80573709	709891985	1798007962	29974279						
85651135	85647393	2	6	91	10034	735175	5	31388	721	28079763	573711294	732651065	1749481096	80554558	80543857															
85651135	87284575	37	11	114	10034	735227	1	30726	780	28079763	80572940	709742741	573711293	709742731	732651065	749494017	1749481096	708315208	80543857	29974279										
85646117	871944137	34	7	57	10034	735222	3	28498	601	765909829	811382726	573710797	27991930	29976982	29977503	811387931														
876926663	871944137	15	9	92	10036	735195	4	27306	1144	1819204715	709010330	820245654	573725134	29981037	573710799	573710801	29976982	811387931												
85647328	85650442	5	9	104	10036	735181	4	28031	781	28026775	1027997933	709010330	749393973	80552331	80573730	709742737	27991246	28025066												
85641389	574085942	2	4	28	10036	735175	5	27386	240	80552331	573710800	29989693	80573702																	
85646117	85590225	20	7	67	10038	735202	4	27994	600	765909829	573710794	573710799	29989693	573710802	29976987	767379098														
835374854	85650294	28	7	55	10038	735214	2	29820	540	766750672	80552331	80573730	573710800	27991246	28025066	29976987														
825564168	85650294	29	9	90	10038	735215	3	27541	720	744918194	709010330	573710791	28026073	27994018	573710800	27991930	573710802	29976987												
85647759	87292491	1	13	121	10039	735174	4	27125	920	757921318	781844727	1027997520	1027997635	29974508	749393973	573725134	573710797	573710799	29989693	27991246	29976982	29977476								
85646117	85650469	7	10	86	10039	735185	1	27270	721	765909829	27996954	28021179	80552331	573710797	709742735	709742737	27991246	792305848	28025069											
85647251	85650483	22	12	111	10039	735206	1	27620	959	27998870	27998516	749475871	749475871	29974508	27996732	29981037	29986525	29989693	573710801	29976982	573725073									
85646054	85650294	6	9	88	10040	735182	5	27555	667	27997445	709010324	749393973	811547830	818754506	29989693	573710802	29976982	29976987												
731104954	85650294	52	6	40	10040	735248	1	31948	361	573725077	573710800	709742737	27991246	28025066	29976987															
85641355	85650294	48	7	44	10041	735242	2	30857	420	29989689	29981038	573710797	709742735	27991246	28025066	29976987														
85641423	871944137	29	7	41	10041	735215	3	27321	420	28020928	573710794	573710799	29989693	573710801	29976982	811387931														
840410073	85650294	19	9	63	10041	735201	3	27750	481	766798417	28027864	573725134	573710794	573710799	29989693	573710802	29976983	29976987												
85641096	85650294	30	7	80	10042	735216	4	31015	664	809007673	766750672	573725134	29981037	29989693	573710802	29976987														
731105033	87292086	48	6	37	10042	735242	2	31217	300	573725134	29981037	29986525	29989693	573710801	29976982															
91552995	731104915	19	11	108	10042	735201	3	30159	779	724209349	798007963	1708315208	766750672	709816949	811382725	573710797	29976976	29976982	29976987	573725039										
85641441	85650294	34	6	36	10042	735222	3	30931	301	80552330	573710797	709742735	573710801	29976982	29976987															
85646022	87292086	18	9	95	10043	735200	2	28214	719	716693005	80554582	749366568	28021179	80552331	573710800	27991930	573710802	29976982												
85646260	660284940	26	6	50	10044	735210	5	32152	300	709010321	749393973	573725133	29981037	573710799	29989693															
805679419	85650294	15	9	98	10045	735195	4	29130	660	716693006	746221256	573710791	29981037	29986525	29989693	573710802	29976982	29976987												
87292507	862228281	46	10	113	10045	735238	5	30656	720	29977502	27991263	573711292	709742743	573711295	811547831	759365957	708315208	1749385104	797907233											
85647322	85650294	36	10	107	10046	735224	5	28010	960	28026782	1027997774	716693020	27996719	573725134	573710794	573710799	29989693	573710802	29976987											
574081977	872943758	12	15	112	10046	735192	1	28460	1039	80572940	709742740	573711294	773078643	709816947	711270049	29986282	708315194	812374119	709891985	80554558	1781844727	1809525360	1749495630	813086887						
85641173	85650294	39	8	64	10046	735229	3	27718	540	745958910	27996719	80552331	573710797	709742735	709742737	28025066	29976987													
85646249	85652976	12	8	55	10046	735192	1	31298	541	749366568	27996719	28026073	27994018	573710800	29989694	709742737	573710802													
679628712	85647772	4	15	109	10046	735180	3	30113	1321	573711291	709742740	709742742	1080549224	709816948	711270048	708315201	80573709	709891986	1027997686	1809147542	1809525360	1813086885	27998472	813086886						
85641421	574085940	30	4	28	10047	735216	4	30915	241	28026073	573710800	27991930	80573701																	
85645956	871944137	12	10	102	10047	735192	1	29953	839	27998795	746156501	820245654	80552331	80573730	709742735	709742737	27991246	28025066	811387931											
85641421	87292086	53	6	34	10047	735249	2	30092	300	28026073	573710794	573710799	29989693	573710802	29976982															
85641423	731104918	33	8	44	10047	735221	2	29104	420	28020928	573710794	573710799	29989693	573710802	29976982	29976987	573725038													
85646117	85650294	13	7	56	10047	735193	2	29620	480	765909829	28020928	573710794	573710799	27991930	29976982	29976987														
872042337	85650691	24	8	48	10047	735208	3	29885	540	811547830	573710797	709742735	709742737	27991246	29976982	29976987	811387932													
85646054	871944137	20	12	87	10048	735202	4	26777	841	27997445	812374122	708315191	29981055	80551602	28020730	27993319	573710799	29989693	573710802	29977503	811387931									
85652977	706489846	50	10	116	10048	735244	4	29397	899	573711290	709742741	29986510	709742730	732651065	749494017	1749481096	708315209	29974401	709010340											
706004143	85650294	1	9	74	10048	735174	4	30837	540	1708315208	27996719	783898028	27993932	573710800	709742736	573710802	29976982	29976987												
91553447	871944137	38	11	109	10048	735228	2	28911	900	29981824	749385104	29974513	27996719	80552330	27993932	29989693	573710801	29976982	29977503	811387931										
85647328	85650294	39	10	107	10048	735229	3	27466	780	28026775	27997686	765909829	29989689	29981037	573710797	709742737	27991246	28025066	29976987											
87286821	731104918	5	7	100	10049	735181	4	26725	781	708315188	29981170	766798418	28026073	709742734	709742737	573725038														
805679393	871944137	50	10	98	10049	735244	4	27291	850	1746156471	27997521	766798417	811547830	573710797	709742735	709742737	29976982	29977503	811387931											
828674397	871944137	10	11	107	10049	735188	4	27219	840	749413960	749494955	710310825	820245654	28026073	27994018	573710800	709742737	27991246	29977503	811387931										
85646117	731104915	11	8	61	10049	735189	5	28310	480	765909829	27996719	80552331	709742735	29976976	29976982	29976987	573725039													
876926663	85650691	48	13	97	10049	735242	2	27178	1106	1819204715	1027997520	716693020	749393973	811547829	573710795	573710799	29989693	29976976	27991246	28025066	29976987	811387932								
87292507	87284575	37	12	117	10049	735227	1	29752	727	29977502	80572940	573711291	573711294	573711295	732651065	749494017	759365954	80554536	80554558	27997707	29974279									
835374854	871944137	27	8	57	10049	735213	1	27193	540	766750672	573725134	29981037	573710798	709742735	709742737	29977503	811387931													
85647411	87292089	54	11	106	10049	735250	3	26713	970	29974402	29981068	749366569	27996719	573725134	29981037	29989693	573710802	29976982	29976987	811466015										
85645661	85650691	44	10	78	10050	735236	3	29825	600	29974508	28027864	573725133	29981037	29986525	29989693	573710801	29976982	29977503	811387932											
826304681	871944137	53	9	69	10050	735249	2	29280	661	745941206	27996719	29989689	29981038	573710797	573710800	29989694	29976982	811387931												
85646039	85650691	40	11	100	10053	735230	4	29641	766	27997991	746156501	749393973	29989689	29981037	29986525	29989693	573710801	29976982	29977503	811387932										
85646034	85650294	30	10	97	10053	735216	4	28823	1014	27998248	27998005	746156501	749393973	28026073	573710795	573710800	27991930	27991246	29976987											
85645999	87292086	53	9	80	10053	735249	2	27485	660	813029304	766750672	27996719	29981038	573710797	709742734	709742737	27991246	29976982												
85646047	731104915	19	9	92	10053	735201	3	28518	721	1027997575	766798417	27996719	573725134	573710799	29989693	29976982	29976987	573725039												
863183378	871944137	16	9	80	10054	735196	5	31618	600	799358074	820245654	28026073	573710795	573710800	709742736	27991246	28025066	811387931												
574047752	871944137	14	9	77	10054	735194	3	31527	660	80553276	749366568	27996719	573725134	573710800	709742736	27991246	28025066	811387931												
85650293	85645656	38	11	94	10055	735228	2	29661	727	29956386	29976984	27991263	80572940	573711294	573711295	709742732	573725079	1749481096	29981175	1027997768										
731105033	85650294	9	6	41	10055	735187	3	29264	360	573725134	29981037	573710799	27991930	27991246	29976987															
85641661	85653081	24	6	39	10056	735208	3	30937	360	27996719	573725134	29981038	573710797	29989693	709742737															
85646249	731104918	56	9	65	10057	735252	5	30110	600	749366568	27996719	28026073	29981766	29989693	573710802	29976982	29976987	573725038												
574047752	85650294	32	10	77	10057	735220	1	31752	601	80553276	766798417	27996719	573725134	29981037	573710799	29989693	573710802	29976982	29976987											
863183378	731104918	1	9	82	10058	735174	4	31139	600	799358074	749393973	811547830	29981038	709742735	29976976	29976982	29977503	573725038												
85641107	85650294	13	9	85	10058	735193	2	28472	660	1027997861	27997909	749393973	29989689	29981038	573710798	29989693	573710802	29976987												
85647404	85652976	35	6	79	10060	735223	4	27752	661	749494955	710310825	573710791	28026073	27991930	573710802															
706004143	85653081	22	6	60	10060	735206	1	28208	421	1708315208	749393973	80552330	573710797	709742735	709742737															
85646286	871944137	14	9	70	10060	735194	3	28556	540	745941205	820245654	29989689	29981038	709742735	573710801	29976982	29977503	811387931												
85646588	871944137	34	9	74	10060	735222	3	29222	600	1708315209	749393973	29989689	29981037	573710798	29989693	29976982	29977503	811387931												
91553447	85650294	48	12	109	10061	735242	2	26960	1080	29981824	798007963	80553276	28021330	811547829	80552331	27994018	29989693	573710801	27991246	28025066	29976987									
826304681	85650691	5	9	70	10064	735181	4	29292	539	745941206	573710791	573725134	573710795	573710800	709742737	27991246	29977503	811387932												
872944789	871944137	10	10	108	10064	735188	4	30253	1020	813088783	27997832	746156501	709010330	820245654	28026073	709742736	27991246	28025066	811387931											
706489841	85650294	2	6	73	10064	735175	5	30769	561	709010330	811547829	29989693	573710802	29976982	29976987															
85646249	85650691	23	8	63	10064	735207	2	29526	540	749366568	811547830	811382726	573710797	573710801	29976982	29977503	811387932													
834545571	85653109	6	6	67	10065	735182	5	31976	480	758074212	820245654	783898029	573710797	709742735	573710801															
872042337	871944137	33	7	46	10066	735221	2	28855	420	811547830	573710797	709742735	709742737	29976982	28025066	811387931														
91552954	85650469	19	6	35	10067	735201	3	27105	318	29981037	573710800	27991930	573710802	27991246	28025069															
85646249	85650099	17	6	54	10068	735199	1	32049	360	749366568	27996719	573725077	573710794	27991930	27991246															
85645628	871944137	20	9	98	10072	735202	4	27089	780	80552268	809007673	745958911	709816949	80552331	80573730	709742737	27991246	811387931												
85646159	85650294	17	7	58	10072	735199	1	29383	480	28021330	27996719	573710797	709742735	573710801	29976982	29976987														
85641569	574085940	4	6	38	10072	735180	3	30461	301	709816949	80552331	80573730	573710800	27991930	80573701															
872042337	85650294	38	9	47	10077	735228	2	27441	540	811547830	28026073	573710797	573710800	29989693	573710801	29976982	28025066	29976987												
91553447	85653120	4	10	101	10078	735180	3	29719	907	29981824	798007963	29981068	765909829	573725134	80552331	80573730	573710800	27991930	80573703											
