28324	28383	28444	28564	28624																										
28065	28125	28185	28245	28305	28365	28425	28486																							
31558	31618	31678	31737	31858	31918																									
27741	27922	28041	28102	28222	28281	28342	28402	28461																						
31010	31070	31130																												
29932	30052	30232	30352	30413	30532	30592	30653	30713	30773	30833																				
30218	30278	30338	30398	30458																										
30330	30449	30510	30570	30630	30690	30750																								
31598	31657	31716	31777	31838	31957																									
31419	31497	31602	31723	31798	31857	31917	31946	32037	32097																					
26963	27023	27084	27143	27203	27264	27324																								
29105	29165	29225	29285	29345	29405	29465	29525																							
27933	27994	28053	28173	28234	28294	28394	28534	28654	28834	28872	29014																			
27669	27730	27789	27849	27970	28030																									
29213	29273	29393	29543	29633	29693	29813	29933	30056	30233																					
29153	29273	29452	29573	29632	29692	29752	29813	29932																						
26954	27074	27135	27245	27314	27374	27434	27614	27734	27846	27980	28094																			
27361	27421	27480	27600	27660	27780																									
27106	27165	27226	27286	27345																										
28125	28191	28246	28366	28546	28606	28714	28787	28906	28992	29086	29147																			
29426	29486	29546	29726	29786	29846	29976	30146	30266	30446	30484																				
29786	29966	30068	30146	30206	30265	30446																								
26842	26902	26962	27022	27082	27142	27202	27262																							
27153	27334	27394	27453	27513	27573	27634	27694	27754	27813	27874																				
27780	27841	27960	28080	28140	28200	28320	28380																							
26735	26915	26975	27035	27095	27155	27216	27276	27335	27395	27455																				
26709	26829	26949	27009	27069	27129	27189	27248	27309	27429																					
28799	28859	28919	28980	29040	29099	29159	29339	29459																						
28327	28507	28627	28747	28807	28928	28988	29047	29107	29167	29228	29348																			
26805	26864	26924	26984	27044	27104	27190	27212	27311	27386	27465	27645																			
30677	30798	30858	30918	30977	31037																									
30569	30689	30749	30809	30988	31049	31109																								
31190	31311	31371	31432	31491	31551	31659																								
28362	28482	28602	28662	28723	28782	28842	28903	28963	29082																					
29791	29851	29911	29971	30032	30092	30151	30212	30332	30452																					
28607	28667	28727	28787	28847	28907	28952	29027	29207	29267	29387	29449																			
30060	30180	30301	30360	30481	30541	30601	30661	30721	30781	30841																				
29795	29855	29915	29975	30036	30096	30155	30216	30336	30515	30575																				
27720	27841	27961	28021	28081	28141	28201	28320	28381	28441																					
29481	29541	29601	29660	29721	29788	29866	29961	30021	30141	30321	30441																			
29338	29398	29458	29518	29582	29638	29698	29759																							
30020	30080	30140	30200	30260	30321	30381	30440																							
31906	32086	32146	32206	32386	32446																									
31763	31943	32123	32183	32243	32303	32363	32423																							
30130	30249	30370	30430	30490	30610	30669																								
32050	32110	32170	32230	32290	32350	32431																								
31325	31505	31566	31745	31864																										
31633	31693	31754	31813	31880	31940																									
27267	27448	27568	27627	27687	27748	27808	27929																							
30473	30532	30592	30653	30713	30772	30833																								
28513	28574	28634	28694	28754	28814	28874	28934																							
31416	31476	31597	31657	31716	31909	31957	32017	32197	32321	32497																				
30595	30655	30714	30774	30834	30954																									
31584	31644	31704	31764	31824	31884	31944																								
28302	28362	28422	28543	28603																										
28580	28700	28760	28820	28879	28940	29060	29119	29180																						
31904	32024	32084	32204	32264	32325	32386																								
27041	27160	27281	27341	27401	27521	27581	27641	27701																						
27078	27152	27318	27497	27558	27618	27678	27738	27798	27858	27918	27979																			
29861	29921	29981	30041	30101	30161	30250	30341																							
30234	30414	30534	30654	30714	30775																									
28563	28623	28698	28744	28803	28864	28924	28984	29108	29219	29300	29465																			
31402	31462	31582	31642	31702																										
28142	28263	28382	28443	28503	28563	28622	28683	28743	28863																					
27570	27690	27810	27945	27990	28051	28110	28170	28231	28291	28350	28471																			
27952	28071	28251	28311	28432	28492	28552	28611	28672																						
27468	27587	27648	27708	27768																										
26973	27035	27094	27154	27213	27274	27334																								
29091	29257	29317	29377	29437	29497																									
27708	27767	27947	28008	28067	28127	28187	28248																							
28903	28963	29023	29083	29143	29203	29263	29383																							
29654	29833	30014	30194	30374	30434	30493	30614	30674																						
27959	28158	28339	28398	28459	28519	28639	28699	28758	28819	28879																				
32118	32178	32238	32298	32357	32417																									
28209	28647	28853	28972	29032	29093	29213	29332																							
29513	29632	29692	29752	29813	29873	29933	29993	30053																						
28018	28138	28258	28439	28498	28559	28679	28739	28799	28859	28918																				
31828	31969	32112	32292	32352	32412																									
26927	27167	27227	27287	27407	27467	27527	27587	27647	27707	27768																				
31495	31675	31795	31855	31915	31975	32035	32155																							
27625	27685	27745	27805	27865	27985	28045																								
31713	31773	31833	31893	32013																										
30480	30540	30600	30660	30720	30841	30901																								
30792	30852	30912	30972																											
27459	27579	27759	27819	27879	27939	27999	28060	28119	28239	28299	28359																			
31198	31258	31318	31377	31438	31498	31558	31618	31678	31798	31918																				
30694	30814	30993	31175	31234	31294	31354	31473																							
28658	28838	29018	29078	29138	29198	29258	29318																							
30954	31013	31073	31134	31194	31253	31373																								
30068	30249	30309	30369	30428	30549	30609	30669	30729																						
30631	30776	30956	31016	31077	31196	31256	31316	31377																						
31440	31560	31680	31740	31800	31860	31921	31979	32040	32100																					
27850	27909	27971	28030	28150	28270	28330	28391	28510	28690	28870																				
29497	29557	29617	29736	29797	29917	29976	30037	30096	30217	30336	30457																			
30550	30730	30911	31091	31150	31210	31270	31331	31391	31451																					
27934	28054	28174	28234	28294	28354	28414	28474	28534																						
30576	30696	30755	30816	30875	30935																									
30758	30878	30998	31118	31178	31238	31298	31359																							
31675	31734	31855	32034	32095	32155	32215	32275	32335																						
28252	28312	28372	28432	28492	28552	28612	28672																							
30527	30706	30886	30946	31007	31066	31126	31187	31247	31307	31366	31426																			
30609	30669	30729	30790	30850	30909	31089	31149	31269	31390	31569	31690	31809	31989	32110																
31388	31569	31689	31809	31989	32109																									
30726	30786	30846	30907	30967	31026	31086	31146	31266	31386	31506																				
28498	28678	28738	28857	28978	29038	29099																								
27306	27730	27910	28031	28090	28150	28270	28331	28450																						
28031	28152	28271	28392	28512	28572	28691	28751	28812																						
27386	27506	27566	27626																											
27994	28173	28234	28293	28354	28474	28594																								
29820	30000	30060	30121	30239	30300	30360																								
27541	27661	27781	27901	27961	28021	28081	28141	28261																						
27125	27205	27266	27325	27445	27545	27626	27725	27746	27806	27885	27926	28045																		
27270	27431	27571	27631	27690	27750	27810	27868	27931	27991																					
27620	27666	27818	27837	27979	28159	28279	28340	28399	28459	28519	28579																			
27555	27742	27802	27862	27982	28042	28102	28162	28222																						
31948	32068	32128	32188	32249	32309																									
30857	30917	30976	31037	31157	31217	31277																								
27321	27381	27441	27501	27561	27621	27741																								
27750	27811	27871	27931	27990	28051	28111	28171	28231																						
31015	31195	31315	31375	31495	31555	31679																								
31217	31277	31337	31397	31457	31517																									
30159	30281	30398	30459	30518	30584	30638	30758	30819	30879	30938																				
30931	30991	31051	31111	31172	31232																									
28214	28333	28453	28573	28633	28752	28813	28873	28933																						
32152	32212	32272	32332	32392	32452																									
